id,listing,rental_condition,details,agency,address,latitude,longitude,transaction_type,deposit,monthly_rent,housing_type,area_info,floor_info,direction
1,집주인일반원룸,"월세1,000/65","원룸21/13m², 4/5층, 남향",성우공인중개사사무소 유한회사,서울시 광진구 화양동 36-76,37.5441920532735,127.067529437935,월세,1000,65,원룸,21/13m,4/5층,남향
2,집주인신원리브웰 1동,"월세1억 5,000/40","오피스텔33C/20m², 2/11층, 동향",황소공인중개사사무소,서울시 광진구 화양동 36-76,37.5441920532735,127.067529437935,월세,15000,40,오피스텔,33C/20m,2/11층,동향
3,집주인일반원룸,월세500/65,"원룸16/10m², 4/5층, 북동향",시그니처공인중개사사무소,서울시 광진구 화양동 19-18,37.5467859712495,127.068568438791,월세,500,65,원룸,16/10m,4/5층,북동향
4,집주인빌라,"월세2,000/220","빌라64/38m², 3/10층, 남향",군자공인중개사사무소,서울시 광진구 화양동 20-29,37.5475303691164,127.068270035154,월세,2000,220,빌라,64/38m,3/10층,남향
5,집주인빌라,"월세5,000/170","빌라38/29m², 4/8층, 남동향",주식회사세움부동산중개법인,서울시 광진구 화양동 20-29,37.5475303691164,127.068270035154,월세,5000,170,빌라,38/29m,4/8층,남동향
6,집주인도시형생활주택,"월세5,000/34","원룸23/17m², 3/5층, 북서향",시그니처공인중개사사무소,서울시 광진구 화양동 9-32,37.5418751232913,127.069104245871,월세,5000,34,원룸,23/17m,3/5층,북서향
7,집주인다가구,"월세2,000/100","단독/다가구49/29m², 1/2층, 남동향",시그니처공인중개사사무소,서울시 광진구 화양동 32-10,37.5459809084204,127.068448205463,월세,2000,100,단독/다가구,49/29m,1/2층,남동향
8,집주인일반원룸,"월세6,000/40","원룸20/18m², 3/5층, 남동향",시그니처공인중개사사무소,서울시 광진구 화양동 45-17,37.5434558785739,127.066999094379,월세,6000,40,원룸,20/18m,3/5층,남동향
9,집주인도시형생활주택,"월세3,000/82","원룸42/32m², 5/5층, 남서향",시그니처공인중개사사무소,서울시 광진구 화양동 9-32,37.5418751232913,127.069104245871,월세,3000,82,원룸,42/32m,5/5층,남서향
10,단독,월세500/60,"단독/다가구19/19m², 1/2층, 북향",당근부동산공인중개사사무소,서울시 광진구 화양동,37.5464762611363,127.071367614735,월세,500,60,단독/다가구,19/19m,1/2층,북향
11,집주인빌라,"월세2,000/220","빌라36/29m², 고/10층, 북동향",태양공인중개사사무소,서울시 광진구 화양동 20-29,37.5475303691164,127.068270035154,월세,2000,220,빌라,36/29m,고/10층,북동향
12,집주인빌라,"월세5,000/170","빌라40/29m², 중/8층, 남향",ON부동산공인중개사사무소,서울시 광진구 화양동 132-29,37.5466922834487,127.07068048624,월세,5000,170,빌라,40/29m,중/8층,남향
13,일반원룸,월세500/65,"원룸15/9m², 4/5층, 남향",당근부동산공인중개사사무소,서울시 광진구 화양동 132-29,37.5466922834487,127.07068048624,월세,500,65,원룸,15/9m,4/5층,남향
14,단독,월세500/65,"단독/다가구15/10m², 6/7층, 북서향",당근부동산공인중개사사무소,서울시 광진구 화양동,37.5464762611363,127.071367614735,월세,500,65,단독/다가구,15/10m,6/7층,북서향
15,집주인다가구,월세500/52,"단독/다가구19/19m², 2/2층, 남서향",당근부동산공인중개사사무소,서울시 광진구 화양동 47-39,37.5428790631268,127.068405878691,월세,500,52,단독/다가구,19/19m,2/2층,남서향
16,집주인단독,"월세1,000/65","단독/다가구20/15m², 3/3층, 남동향",시그니처공인중개사사무소,서울시 광진구 화양동 44-76,37.5435165096663,127.066371815647,월세,1000,65,단독/다가구,20/15m,3/3층,남동향
17,집주인다가구,"월세1,000/135","단독/다가구49/49m², 1/3층, 남동향",당근부동산공인중개사사무소,서울시 광진구 화양동 31-59,37.5452898809962,127.067441259718,월세,1000,135,단독/다가구,49/49m,1/3층,남동향
18,집주인일반원룸,전세1억,"원룸20/17m², 3/7층, 북동향",시그니처공인중개사사무소,서울시 광진구 화양동 20-23,37.5468223174712,127.068195156263,전세,10000,0,원룸,20/17m,3/7층,북동향
19,집주인일반원룸,"월세5,000/40","원룸20/17m², 4/7층, 남동향",시그니처공인중개사사무소,서울시 광진구 화양동 20-23,37.5468223174712,127.068195156263,월세,5000,40,원룸,20/17m,4/7층,남동향
20,집주인빌라,"월세5,000/170","빌라-/29m², 4/8층, 서향",모던공인중개사사무소,서울시 광진구 화양동 132-29,37.5466922834487,127.07068048624,월세,5000,170,빌라,-/29m,4/8층,서향
