BLDG_NM,THING_AMT,address,latitude,longitude,THING_AMT_KOR
(121-34),32700,서울특별시 광진구 중곡동 0121-0034 (121-34),37.5563570233191,127.086510985,3억 2천
(13-27),44000,서울특별시 광진구 자양동 0013-0027 (13-27),37.5400602691335,127.065087892994,4억 4천
(13-50),35000,서울특별시 광진구 자양동 0013-0050 (13-50),37.5407211016154,127.065180119813,3억 5천
(134-15),35500,서울특별시 광진구 중곡동 0134-0015 (134-15),37.556891543707,127.085204765327,3억 5천
(150-242),31000,서울특별시 광진구 중곡동 0150-0242 (150-242),37.5597272084353,127.084763763587,3억 1천
(16-32),39500,서울특별시 광진구 자양동 0016-0032 (16-32),37.5400814036684,127.063838847287,3억 9천
(161-0),28000,서울특별시 광진구 능동 0161-0000 (161-0),37.5536415109866,127.081045214401,2억 8천
(199-8),23900,서울특별시 광진구 구의동 0199-0008 (199-8),37.5404564288976,127.095232480401,2억 3천
(220-9),31000,서울특별시 광진구 중곡동 0220-0009 (220-9),37.5662310391792,127.082360080076,3억 1천
(221-75),15000,서울특별시 광진구 구의동 0221-0075 (221-75),37.5398022422156,127.08883665532,1억 5천
(223-24),40000,서울특별시 광진구 구의동 0223-0024 (223-24),37.541146854316,127.090784459955,4억
(229-16),24000,서울특별시 광진구 자양동 0229-0016 (229-16),37.5356818168091,127.078495773598,2억 4천
(230-9),90000,서울특별시 광진구 구의동 0230-0009 (230-9),37.5442384200134,127.088813969445,9억
(234-20),33000,서울특별시 광진구 중곡동 0234-0020 (234-20),37.5650687387155,127.078005481236,3억 3천
(240-7),35000,서울특별시 광진구 능동 0240-0007 (240-7),37.5537619941707,127.082060147262,3억 5천
(242-31),22000,서울특별시 광진구 구의동 0242-0031 (242-31),37.5393646570765,127.08746816461,2억 2천
(243-4),28700,서울특별시 광진구 중곡동 0243-0004 (243-4),37.5625516818401,127.080340334357,2억 8천
(350-8),39000,서울특별시 광진구 광장동 0350-0008 (350-8),37.5488508366095,127.105434875886,3억 9천
(4-0),38500,서울특별시 광진구 군자동 0004-0000 (4-0),37.5572871114739,127.074787807267,3억 8천
(473-1),20000,서울특별시 광진구 군자동 0473-0001 (473-1),37.5577379944448,127.076993281444,2억
(476-13),54000,서울특별시 광진구 군자동 0476-0013 (476-13),37.5561630906237,127.078031394404,5억 4천
(48-59),107000,서울특별시 광진구 자양동 0048-0059 (48-59),37.5345213306323,127.066292450604,10억 7천
(547-8),27500,서울특별시 광진구 구의동 0547-0008 (547-8),37.5325273835363,127.092707551171,2억 7천
(552-7),18000,서울특별시 광진구 중곡동 0552-0007 (552-7),37.5708266125684,127.083703350427,1억 8천
(56-9),104000,서울특별시 광진구 자양동 0056-0009 (56-9),37.5350595877279,127.063338775774,10억 4천
(57-91),93000,서울특별시 광진구 자양동 0057-0091 (57-91),37.5343462213464,127.06491344081,9억 3천
(581-12),38500,서울특별시 광진구 자양동 0581-0012 (581-12),37.5325838219082,127.074594443269,3억 8천
(593-15),46000,서울특별시 광진구 자양동 0593-0015 (593-15),37.5297572813449,127.076580646132,4억 6천
(603-0),60000,서울특별시 광진구 자양동 0603-0000 (603-0),37.5320497274074,127.076952272319,6억
(610-8),21500,서울특별시 광진구 자양동 0610-0008 (610-8),37.5333446743894,127.076213667698,2억 1천
(611-39),40000,서울특별시 광진구 자양동 0611-0039 (611-39),37.5346977475461,127.077398396488,4억
(634-6),39500,서울특별시 광진구 구의동 0634-0006 (634-6),37.5443609794348,127.083215467496,3억 9천
(635-9),18000,서울특별시 광진구 자양동 0635-0009 (635-9),37.5321020277175,127.080932748801,1억 8천
(636-8),43500,서울특별시 광진구 구의동 0636-0008 (636-8),37.5436790157882,127.08321176744,4억 3천
(638-7),80000,서울특별시 광진구 자양동 0638-0007 (638-7),37.5306083263804,127.080039172264,8억
(640-11),54000,서울특별시 광진구 자양동 0640-0011 (640-11),37.5296827743837,127.079033436733,5억 4천
(640-24),34500,서울특별시 광진구 자양동 0640-0024 (640-24),37.5294281450478,127.079311703999,3억 4천
(640-25),38000,서울특별시 광진구 자양동 0640-0025 (640-25),37.5293384237545,127.079284230604,3억 8천
(647-33),56800,서울특별시 광진구 자양동 0647-0033 (647-33),37.5290879565913,127.080068885677,5억 6천
